,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,18.186,18.222,18.164,18.221,44220.06,1711240499999
1,1711240500000,18.222,18.317,18.214,18.296,106052.67,1711240799999
2,1711240800000,18.296,18.305,18.238,18.241,74819.74,1711241099999
3,1711241100000,18.241,18.26,18.232,18.236,47254.48,1711241399999
4,1711241400000,18.233,18.255,18.229,18.245,29780.27,1711241699999
5,1711241700000,18.246,18.269,18.245,18.262,27051.25,1711241999999
6,1711242000000,18.262,18.293,18.251,18.258,50226.16,1711242299999
7,1711242300000,18.258,18.3,18.252,18.286,35974.21,1711242599999
8,1711242600000,18.287,18.295,18.263,18.284,31326.03,1711242899999
9,1711242900000,18.284,18.302,18.261,18.28,21664.28,1711243199999
10,1711243200000,18.279,18.316,18.242,18.312,40330.51,1711243499999
11,1711243500000,18.312,18.365,18.311,18.348,56148.44,1711243799999
12,1711243800000,18.347,18.349,18.282,18.284,38904.42,1711244099999
13,1711244100000,18.284,18.289,18.232,18.236,51504.39,1711244399999
14,1711244400000,18.235,18.249,18.212,18.22,28903.96,1711244699999
15,1711244700000,18.219,18.227,18.201,18.201,28376.38,1711244999999
16,1711245000000,18.201,18.211,18.199,18.2,28614.14,1711245299999
17,1711245300000,18.2,18.216,18.199,18.209,14625.41,1711245599999
18,1711245600000,18.209,18.209,18.166,18.182,40919.65,1711245899999
19,1711245900000,18.182,18.188,18.158,18.188,30160.06,1711246199999
20,1711246200000,18.189,18.197,18.16,18.17,20547.82,1711246499999
21,1711246500000,18.167,18.167,18.133,18.147,27595.29,1711246799999
22,1711246800000,18.147,18.147,18.118,18.139,35366.55,1711247099999
23,1711247100000,18.139,18.159,18.124,18.157,43366.92,1711247399999
24,1711247400000,18.156,18.159,18.121,18.158,22320.98,1711247699999
25,1711247700000,18.158,18.201,18.158,18.2,24366.85,1711247999999
26,1711248000000,18.199,18.221,18.174,18.211,23434.9,1711248299999
27,1711248300000,18.212,18.214,18.166,18.201,32751.73,1711248599999
28,1711248600000,18.201,18.211,18.17,18.193,21185.34,1711248899999
29,1711248900000,18.192,18.208,18.173,18.192,16042.34,1711249199999
30,1711249200000,18.192,18.194,18.158,18.167,21794.3,1711249499999
31,1711249500000,18.168,18.168,18.067,18.074,78983.83,1711249799999
32,1711249800000,18.073,18.074,18.022,18.054,70567.42,1711250099999
33,1711250100000,18.055,18.117,18.054,18.099,48011.43,1711250399999
34,1711250400000,18.098,18.125,18.074,18.104,24984.92,1711250699999
35,1711250700000,18.104,18.129,18.092,18.118,25330.98,1711250999999
36,1711251000000,18.119,18.124,18.057,18.061,34329.18,1711251299999
37,1711251300000,18.06,18.128,18.041,18.097,38243.79,1711251599999
38,1711251600000,18.094,18.106,18.072,18.075,21217.58,1711251899999
39,1711251900000,18.075,18.121,18.068,18.092,24596.95,1711252199999
40,1711252200000,18.092,18.109,18.067,18.076,20826.75,1711252499999
41,1711252500000,18.076,18.091,18.032,18.032,33065.62,1711252799999
42,1711252800000,18.034,18.069,18.016,18.052,44508.79,1711253099999
43,1711253100000,18.051,18.103,18.051,18.1,23765.31,1711253399999
44,1711253400000,18.099,18.103,18.055,18.089,29199.55,1711253699999
45,1711253700000,18.088,18.088,18.041,18.047,22129.28,1711253999999
46,1711254000000,18.047,18.047,17.986,18.0,65198.02,1711254299999
47,1711254300000,18.001,18.02,17.984,18.006,48276.61,1711254599999
48,1711254600000,18.005,18.048,17.994,18.022,34085.5,1711254899999
49,1711254900000,18.023,18.042,17.989,17.994,35676.47,1711255199999
