,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,1.442,1.45,1.439,1.449,38045.2,1711240499999
1,1711240500000,1.449,1.453,1.445,1.446,29879.9,1711240799999
2,1711240800000,1.447,1.448,1.446,1.446,9035.4,1711241099999
3,1711241100000,1.447,1.449,1.442,1.447,13237.5,1711241399999
4,1711241400000,1.448,1.451,1.447,1.45,10489.5,1711241699999
5,1711241700000,1.45,1.451,1.448,1.448,15963.1,1711241999999
6,1711242000000,1.448,1.449,1.445,1.447,21120.1,1711242299999
7,1711242300000,1.447,1.453,1.446,1.45,10243.9,1711242599999
8,1711242600000,1.45,1.453,1.446,1.451,14379.4,1711242899999
9,1711242900000,1.452,1.452,1.445,1.445,11567.2,1711243199999
10,1711243200000,1.445,1.448,1.44,1.448,18204.9,1711243499999
11,1711243500000,1.448,1.454,1.447,1.45,26212.0,1711243799999
12,1711243800000,1.449,1.45,1.447,1.449,12171.4,1711244099999
13,1711244100000,1.448,1.449,1.444,1.448,12233.9,1711244399999
14,1711244400000,1.448,1.45,1.445,1.447,13916.4,1711244699999
15,1711244700000,1.447,1.449,1.447,1.447,12760.7,1711244999999
16,1711245000000,1.447,1.453,1.447,1.45,8635.2,1711245299999
17,1711245300000,1.451,1.452,1.45,1.452,11711.1,1711245599999
18,1711245600000,1.453,1.454,1.447,1.45,26444.2,1711245899999
19,1711245900000,1.451,1.454,1.449,1.452,17192.8,1711246199999
20,1711246200000,1.452,1.453,1.447,1.447,9860.5,1711246499999
21,1711246500000,1.447,1.448,1.441,1.444,23916.8,1711246799999
22,1711246800000,1.443,1.443,1.44,1.442,9874.8,1711247099999
23,1711247100000,1.442,1.443,1.439,1.442,16149.0,1711247399999
24,1711247400000,1.443,1.444,1.439,1.44,15527.9,1711247699999
25,1711247700000,1.44,1.443,1.44,1.442,5126.3,1711247999999
26,1711248000000,1.442,1.445,1.44,1.444,8546.3,1711248299999
27,1711248300000,1.445,1.445,1.439,1.443,12122.7,1711248599999
28,1711248600000,1.444,1.446,1.438,1.441,11044.9,1711248899999
29,1711248900000,1.442,1.443,1.438,1.442,9288.7,1711249199999
30,1711249200000,1.442,1.444,1.433,1.435,13482.3,1711249499999
31,1711249500000,1.434,1.434,1.428,1.428,29536.6,1711249799999
32,1711249800000,1.429,1.429,1.424,1.427,37438.4,1711250099999
33,1711250100000,1.427,1.433,1.427,1.432,18875.4,1711250399999
34,1711250400000,1.433,1.436,1.429,1.434,11333.0,1711250699999
35,1711250700000,1.435,1.437,1.43,1.434,14201.4,1711250999999
36,1711251000000,1.434,1.435,1.424,1.425,26204.1,1711251299999
37,1711251300000,1.425,1.429,1.422,1.426,32692.1,1711251599999
38,1711251600000,1.426,1.427,1.424,1.425,11020.4,1711251899999
39,1711251900000,1.425,1.43,1.425,1.428,19886.5,1711252199999
40,1711252200000,1.428,1.433,1.427,1.429,12770.0,1711252499999
41,1711252500000,1.428,1.429,1.423,1.423,8834.2,1711252799999
42,1711252800000,1.423,1.427,1.419,1.425,40230.5,1711253099999
43,1711253100000,1.425,1.432,1.425,1.432,6901.6,1711253399999
44,1711253400000,1.432,1.434,1.425,1.429,26226.9,1711253699999
45,1711253700000,1.428,1.428,1.422,1.422,17737.3,1711253999999
