,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,1.408,1.4106,1.4069,1.4104,20161.6,1711240499999
1,1711240500000,1.4106,1.4134,1.4095,1.4109,16298.2,1711240799999
2,1711240800000,1.4109,1.4115,1.4095,1.4106,12342.8,1711241099999
3,1711241100000,1.4106,1.4113,1.4077,1.4104,10742.8,1711241399999
4,1711241400000,1.4103,1.4125,1.4101,1.4113,7118.9,1711241699999
5,1711241700000,1.4114,1.4125,1.4113,1.4119,8054.7,1711241999999
6,1711242000000,1.4119,1.4122,1.4087,1.4096,18018.6,1711242299999
7,1711242300000,1.4096,1.4128,1.4087,1.412,6850.1,1711242599999
8,1711242600000,1.4119,1.4143,1.4086,1.4117,7218.3,1711242899999
9,1711242900000,1.4119,1.4119,1.4076,1.4076,12294.1,1711243199999
10,1711243200000,1.4075,1.4112,1.4049,1.4109,16829.1,1711243499999
11,1711243500000,1.4108,1.4164,1.4106,1.4129,11849.0,1711243799999
12,1711243800000,1.4131,1.4135,1.4104,1.4106,16558.5,1711244099999
13,1711244100000,1.4106,1.4114,1.4068,1.4085,17018.2,1711244399999
14,1711244400000,1.4087,1.41,1.4075,1.4078,10973.9,1711244699999
15,1711244700000,1.408,1.4106,1.408,1.4091,11071.5,1711244999999
16,1711245000000,1.4091,1.4133,1.409,1.4117,6819.8,1711245299999
17,1711245300000,1.4117,1.414,1.4087,1.4118,47276.8,1711245599999
18,1711245600000,1.4117,1.412,1.4089,1.411,19048.3,1711245899999
19,1711245900000,1.411,1.414,1.411,1.4138,13046.3,1711246199999
20,1711246200000,1.4138,1.4143,1.4107,1.4125,15809.7,1711246499999
21,1711246500000,1.4123,1.4123,1.4078,1.4092,14048.7,1711246799999
22,1711246800000,1.4089,1.4089,1.4055,1.4071,8257.0,1711247099999
23,1711247100000,1.407,1.4077,1.404,1.4058,9188.7,1711247399999
24,1711247400000,1.4059,1.406,1.4023,1.4035,15608.7,1711247699999
25,1711247700000,1.4037,1.4053,1.4035,1.404,6016.8,1711247999999
26,1711248000000,1.404,1.4074,1.4027,1.4071,9523.4,1711248299999
27,1711248300000,1.4071,1.4074,1.4025,1.4055,9377.0,1711248599999
28,1711248600000,1.4056,1.4068,1.4012,1.4032,6798.6,1711248899999
29,1711248900000,1.4031,1.4049,1.4015,1.4044,15691.3,1711249199999
30,1711249200000,1.4044,1.4053,1.3973,1.3981,34379.9,1711249499999
