,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,0.9867,0.9903,0.986,0.9903,1014973.0,1711240499999
1,1711240500000,0.9903,0.9907,0.9883,0.9893,621760.0,1711240799999
2,1711240800000,0.9893,0.9902,0.989,0.9895,470812.0,1711241099999
3,1711241100000,0.9895,0.9898,0.9877,0.9898,571892.0,1711241399999
4,1711241400000,0.9897,0.9904,0.9892,0.9895,357291.0,1711241699999
5,1711241700000,0.9895,0.9908,0.9895,0.9903,371777.0,1711241999999
6,1711242000000,0.9903,0.9903,0.9878,0.988,791782.0,1711242299999
7,1711242300000,0.988,0.9895,0.9868,0.9888,766656.0,1711242599999
8,1711242600000,0.9887,0.9902,0.9871,0.9886,582338.0,1711242899999
9,1711242900000,0.9887,0.9887,0.9861,0.9864,441031.0,1711243199999
10,1711243200000,0.9864,0.9892,0.9845,0.989,781691.0,1711243499999
11,1711243500000,0.9891,0.9926,0.9889,0.9905,1202999.0,1711243799999
12,1711243800000,0.9905,0.9905,0.9886,0.9893,725484.0,1711244099999
13,1711244100000,0.9894,0.99,0.987,0.9883,750878.0,1711244399999
14,1711244400000,0.9882,0.9893,0.9875,0.9888,376634.0,1711244699999
15,1711244700000,0.9889,0.99,0.9884,0.9884,214136.0,1711244999999
16,1711245000000,0.9884,0.991,0.9884,0.9899,250403.0,1711245299999
17,1711245300000,0.9898,0.9906,0.9894,0.9897,196050.0,1711245599999
18,1711245600000,0.9897,0.9901,0.9879,0.9895,610911.0,1711245899999
19,1711245900000,0.9895,0.9909,0.9893,0.9908,372183.0,1711246199999
20,1711246200000,0.9909,0.9909,0.9883,0.9894,319994.0,1711246499999
21,1711246500000,0.9894,0.9897,0.9871,0.9879,331987.0,1711246799999
22,1711246800000,0.988,0.988,0.986,0.987,425041.0,1711247099999
23,1711247100000,0.9869,0.9876,0.9863,0.9875,313322.0,1711247399999
24,1711247400000,0.9876,0.9877,0.9859,0.987,324649.0,1711247699999
25,1711247700000,0.9872,0.9886,0.987,0.9882,196249.0,1711247999999
26,1711248000000,0.9881,0.9897,0.987,0.9897,281576.0,1711248299999
27,1711248300000,0.9897,0.9899,0.9881,0.9896,379060.0,1711248599999
