,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,1.8629,1.8656,1.8618,1.8645,38414.0,1711240199999
1,1711240200000,1.8642,1.8738,1.8637,1.8737,68926.2,1711240499999
2,1711240500000,1.8737,1.8772,1.8645,1.866,86445.3,1711240799999
3,1711240800000,1.8662,1.8741,1.8655,1.8728,70375.7,1711241099999
4,1711241100000,1.8733,1.8752,1.87,1.8724,45827.0,1711241399999
5,1711241400000,1.8722,1.878,1.8703,1.8763,35965.3,1711241699999
6,1711241700000,1.8763,1.8775,1.8692,1.8707,47768.9,1711241999999
7,1711242000000,1.8706,1.8729,1.8624,1.8626,50995.1,1711242299999
8,1711242300000,1.8626,1.8693,1.8624,1.8659,35142.5,1711242599999
9,1711242600000,1.8662,1.8676,1.8609,1.8659,32301.6,1711242899999
10,1711242900000,1.8659,1.8659,1.8558,1.8602,57170.6,1711243199999
11,1711243200000,1.8601,1.8651,1.8568,1.8646,40837.8,1711243499999
12,1711243500000,1.8645,1.8724,1.8643,1.8659,24973.4,1711243799999
13,1711243800000,1.8659,1.8674,1.8614,1.8643,33288.4,1711244099999
14,1711244100000,1.864,1.8641,1.8577,1.8601,43954.7,1711244399999
15,1711244400000,1.8601,1.8615,1.8561,1.8577,56985.5,1711244699999
16,1711244700000,1.8594,1.8648,1.8563,1.863,49795.5,1711244999999
17,1711245000000,1.8625,1.8698,1.8618,1.8668,19868.9,1711245299999
18,1711245300000,1.8669,1.8703,1.8649,1.8682,14354.1,1711245599999
19,1711245600000,1.8687,1.8691,1.8599,1.8668,69609.5,1711245899999
20,1711245900000,1.8671,1.8709,1.8648,1.8697,21431.4,1711246199999
21,1711246200000,1.8698,1.8702,1.862,1.8625,45146.2,1711246499999
22,1711246500000,1.8623,1.8634,1.8549,1.8571,59830.8,1711246799999
23,1711246800000,1.857,1.857,1.8486,1.8518,63562.1,1711247099999
24,1711247100000,1.8519,1.8565,1.8512,1.856,50733.8,1711247399999
25,1711247400000,1.8556,1.8585,1.8502,1.8566,37068.9,1711247699999
26,1711247700000,1.8566,1.8589,1.8537,1.855,48631.9,1711247999999
27,1711248000000,1.8551,1.8597,1.8529,1.8593,20817.5,1711248299999
28,1711248300000,1.8592,1.8646,1.8566,1.864,55219.8,1711248599999
29,1711248600000,1.8635,1.8646,1.8521,1.857,48961.4,1711248899999
30,1711248900000,1.8574,1.8585,1.8526,1.8551,21597.4,1711249199999
31,1711249200000,1.8552,1.8569,1.8453,1.8467,54044.0,1711249499999
32,1711249500000,1.8466,1.8466,1.8321,1.8336,228116.4,1711249799999
33,1711249800000,1.8333,1.8342,1.8272,1.8323,108750.6,1711250099999
34,1711250100000,1.8322,1.8397,1.8312,1.8328,64582.6,1711250399999
35,1711250400000,1.8326,1.8352,1.8286,1.8297,66353.0,1711250699999
36,1711250700000,1.8302,1.8363,1.8302,1.8356,52700.7,1711250999999
37,1711251000000,1.8353,1.8364,1.8298,1.8314,64005.3,1711251299999
38,1711251300000,1.8317,1.8367,1.8306,1.8318,45581.4,1711251599999
39,1711251600000,1.8317,1.8344,1.828,1.8305,35142.1,1711251899999
40,1711251900000,1.8303,1.8343,1.8289,1.8305,14565.7,1711252199999
41,1711252200000,1.8307,1.8337,1.8258,1.8285,32409.4,1711252499999
42,1711252500000,1.8284,1.8301,1.826,1.826,24283.4,1711252799999
43,1711252800000,1.8261,1.8306,1.8221,1.8295,82072.9,1711253099999
44,1711253100000,1.8296,1.8366,1.8296,1.8352,14223.3,1711253399999
45,1711253400000,1.8353,1.8358,1.8299,1.8345,31050.2,1711253699999
46,1711253700000,1.8334,1.8334,1.8262,1.8269,24133.8,1711253999999
47,1711254000000,1.827,1.8274,1.8145,1.8158,154041.8,1711254299999
48,1711254300000,1.816,1.8165,1.8011,1.8122,442545.0,1711254599999
49,1711254600000,1.8122,1.815,1.8093,1.8127,50411.3,1711254899999
50,1711254900000,1.813,1.8156,1.8084,1.8112,31817.9,1711255199999
51,1711255200000,1.8111,1.8208,1.8101,1.8185,36468.1,1711255499999
52,1711255500000,1.8188,1.821,1.8159,1.8167,20086.1,1711255799999
53,1711255800000,1.8166,1.8212,1.8159,1.8207,15394.8,1711256099999
54,1711256100000,1.8205,1.8212,1.82,1.821,58063.9,1711256399999
55,1711256400000,1.8209,1.8212,1.8155,1.8192,84676.6,1711256699999
56,1711256700000,1.8191,1.8192,1.8147,1.8184,26898.1,1711256999999
57,1711257000000,1.8183,1.8201,1.8155,1.8178,44852.9,1711257299999
58,1711257300000,1.8177,1.8229,1.8161,1.8218,86244.2,1711257599999
59,1711257600000,1.8216,1.825,1.8212,1.8226,30118.8,1711257899999
60,1711257900000,1.8227,1.8275,1.8218,1.824,29982.7,1711258199999
61,1711258200000,1.8237,1.831,1.8223,1.8289,44075.8,1711258499999
62,1711258500000,1.8284,1.8284,1.8248,1.8252,29013.3,1711258799999
63,1711258800000,1.8253,1.8291,1.8251,1.8261,52065.8,1711259099999
64,1711259100000,1.8261,1.8291,1.8228,1.8285,18979.8,1711259399999
65,1711259400000,1.8285,1.8304,1.8254,1.8283,42423.3,1711259699999
66,1711259700000,1.8284,1.8286,1.8252,1.8261,43739.0,1711259999999
67,1711260000000,1.8264,1.8273,1.8201,1.8224,29429.3,1711260299999
68,1711260300000,1.8225,1.8233,1.8186,1.8198,27198.5,1711260599999
69,1711260600000,1.8195,1.8281,1.8195,1.8259,27720.3,1711260899999
70,1711260900000,1.8258,1.8294,1.8247,1.8274,24909.5,1711261199999
71,1711261200000,1.8279,1.8284,1.8202,1.821,25167.8,1711261499999
72,1711261500000,1.8206,1.8244,1.8196,1.8201,15033.3,1711261799999
73,1711261800000,1.8206,1.8213,1.8116,1.8128,59951.5,1711262099999
74,1711262100000,1.8126,1.8135,1.81,1.8105,26330.8,1711262399999
75,1711262400000,1.8104,1.8105,1.8062,1.8092,53190.1,1711262699999
76,1711262700000,1.8097,1.811,1.8031,1.8101,56759.0,1711262999999
77,1711263000000,1.8101,1.8118,1.8076,1.81,25471.9,1711263299999
78,1711263300000,1.8099,1.8146,1.8094,1.8133,16757.2,1711263599999
79,1711263600000,1.8139,1.8142,1.8096,1.812,18900.6,1711263899999
80,1711263900000,1.8127,1.8139,1.8074,1.8106,21132.9,1711264199999
81,1711264200000,1.8105,1.8156,1.8103,1.8138,23919.1,1711264499999
82,1711264500000,1.8138,1.8143,1.8105,1.8112,15882.0,1711264799999
83,1711264800000,1.811,1.8131,1.8083,1.8131,34272.5,1711265099999
84,1711265100000,1.8131,1.8154,1.8099,1.8113,48663.5,1711265399999
85,1711265400000,1.8113,1.8144,1.8113,1.8131,37170.1,1711265699999
86,1711265700000,1.8129,1.8136,1.8108,1.8108,23169.6,1711265999999
87,1711266000000,1.8108,1.8216,1.8094,1.8216,50713.5,1711266299999
88,1711266300000,1.8208,1.8214,1.8165,1.8175,28200.2,1711266599999
89,1711266600000,1.8174,1.8218,1.8163,1.8173,25921.6,1711266899999
90,1711266900000,1.8176,1.8259,1.8161,1.8254,32322.1,1711267199999
91,1711267200000,1.8257,1.8262,1.8187,1.8211,31938.9,1711267499999
92,1711267500000,1.821,1.8292,1.8208,1.8288,29287.7,1711267799999
93,1711267800000,1.8284,1.8341,1.8278,1.8323,84403.3,1711268099999
94,1711268100000,1.8321,1.8335,1.8275,1.8312,52911.8,1711268399999
95,1711268400000,1.8312,1.8338,1.8303,1.8328,55465.3,1711268699999
96,1711268700000,1.8328,1.8337,1.8318,1.8325,38765.4,1711268999999
97,1711269000000,1.8326,1.8354,1.8305,1.8322,51179.6,1711269299999
98,1711269300000,1.8323,1.8346,1.8304,1.8338,77804.1,1711269599999
99,1711269600000,1.8341,1.8422,1.8341,1.8419,38670.1,1711269899999
100,1711269900000,1.8418,1.8443,1.837,1.8439,32906.7,1711270199999
101,1711270200000,1.8441,1.8511,1.8441,1.8488,68055.2,1711270499999
102,1711270500000,1.8486,1.8559,1.8476,1.854,46496.6,1711270799999
103,1711270800000,1.8544,1.8562,1.8486,1.8497,74293.3,1711271099999
104,1711271100000,1.8497,1.8543,1.8483,1.8509,29322.2,1711271399999
105,1711271400000,1.8503,1.8503,1.8424,1.8427,30823.3,1711271699999
106,1711271700000,1.8426,1.8471,1.8378,1.8386,54230.1,1711271999999
107,1711272000000,1.8386,1.841,1.8354,1.8383,57198.0,1711272299999
108,1711272300000,1.8385,1.8416,1.8364,1.8383,18714.8,1711272599999
109,1711272600000,1.838,1.8407,1.8367,1.84,24026.4,1711272899999
110,1711272900000,1.84,1.843,1.8383,1.8395,36798.4,1711273199999
111,1711273200000,1.8395,1.8407,1.8342,1.8363,38280.2,1711273499999
