,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,3.6264,3.631,3.6237,3.6281,9605.9,1711240199999
1,1711240200000,3.6286,3.6466,3.6268,3.6444,22217.4,1711240499999
2,1711240500000,3.6446,3.6533,3.6376,3.639,15675.9,1711240799999
3,1711240800000,3.6391,3.6431,3.6358,3.6409,7317.2,1711241099999
4,1711241100000,3.6409,3.6441,3.6339,3.6385,7125.4,1711241399999
5,1711241400000,3.6384,3.6454,3.6368,3.642,13806.1,1711241699999
6,1711241700000,3.642,3.6514,3.6419,3.6476,11438.2,1711241999999
7,1711242000000,3.6475,3.6482,3.6385,3.6453,12889.3,1711242299999
8,1711242300000,3.6451,3.6498,3.6401,3.645,8587.1,1711242599999
9,1711242600000,3.6446,3.6507,3.637,3.6446,12065.2,1711242899999
10,1711242900000,3.6456,3.6459,3.6326,3.6335,9202.2,1711243199999
11,1711243200000,3.6332,3.6429,3.6286,3.6414,17050.5,1711243499999
12,1711243500000,3.6411,3.656,3.6405,3.6444,13511.0,1711243799999
13,1711243800000,3.6444,3.6484,3.6384,3.6401,11478.0,1711244099999
14,1711244100000,3.6402,3.6413,3.6287,3.6334,9990.4,1711244399999
15,1711244400000,3.6328,3.6354,3.6294,3.6319,6637.4,1711244699999
16,1711244700000,3.6318,3.6373,3.6307,3.6307,10182.4,1711244999999
17,1711245000000,3.6314,3.6408,3.6298,3.6341,10861.3,1711245299999
18,1711245300000,3.6348,3.6391,3.6326,3.6368,4221.4,1711245599999
19,1711245600000,3.6351,3.6367,3.6267,3.6352,18561.6,1711245899999
20,1711245900000,3.6362,3.6411,3.634,3.6388,7198.2,1711246199999
21,1711246200000,3.6393,3.6415,3.6329,3.6352,7457.4,1711246499999
22,1711246500000,3.6351,3.6354,3.6246,3.6289,10364.8,1711246799999
23,1711246800000,3.629,3.629,3.6162,3.6206,11437.5,1711247099999
24,1711247100000,3.6209,3.6245,3.6167,3.6207,8695.3,1711247399999
25,1711247400000,3.6218,3.6253,3.6134,3.6193,13980.3,1711247699999
26,1711247700000,3.6206,3.6267,3.6201,3.6257,7119.8,1711247999999
27,1711248000000,3.6249,3.6352,3.6211,3.6337,13270.6,1711248299999
28,1711248300000,3.6336,3.6336,3.6215,3.6285,11243.6,1711248599999
29,1711248600000,3.6285,3.632,3.615,3.6219,22318.5,1711248899999
30,1711248900000,3.6221,3.6246,3.6177,3.6221,11900.6,1711249199999
31,1711249200000,3.6223,3.6262,3.6084,3.6103,21906.0,1711249499999
32,1711249500000,3.6098,3.6099,3.5868,3.588,25375.0,1711249799999
33,1711249800000,3.5882,3.5888,3.5703,3.5794,23924.9,1711250099999
34,1711250100000,3.5802,3.5954,3.5793,3.5913,17342.6,1711250399999
35,1711250400000,3.5913,3.5959,3.5843,3.588,11548.8,1711250699999
36,1711250700000,3.588,3.5942,3.5813,3.5871,16091.4,1711250999999
37,1711251000000,3.5877,3.5901,3.5727,3.5746,19464.1,1711251299999
38,1711251300000,3.5744,3.5885,3.5707,3.5792,9967.6,1711251599999
39,1711251600000,3.5796,3.5826,3.5763,3.5787,6729.2,1711251899999
40,1711251900000,3.5784,3.5912,3.5778,3.5851,11295.2,1711252199999
41,1711252200000,3.5845,3.591,3.5808,3.5845,10435.8,1711252499999
42,1711252500000,3.5833,3.5841,3.572,3.5723,7753.7,1711252799999
43,1711252800000,3.5721,3.5784,3.5691,3.573,13064.6,1711253099999
44,1711253100000,3.5721,3.5876,3.5717,3.5874,11372.2,1711253399999
45,1711253400000,3.5868,3.5873,3.5526,3.5678,72599.2,1711253699999
46,1711253700000,3.5673,3.5678,3.5546,3.5557,15993.8,1711253999999
47,1711254000000,3.5553,3.5555,3.5423,3.543,12098.8,1711254299999
48,1711254300000,3.543,3.5467,3.5362,3.5451,16478.5,1711254599999
49,1711254600000,3.5449,3.5548,3.543,3.551,11934.9,1711254899999
50,1711254900000,3.5518,3.555,3.5427,3.5474,7136.5,1711255199999
51,1711255200000,3.5473,3.5598,3.546,3.5591,10903.1,1711255499999
52,1711255500000,3.5592,3.563,3.5495,3.5522,6513.5,1711255799999
53,1711255800000,3.552,3.5576,3.5492,3.5564,11689.4,1711256099999
54,1711256100000,3.5567,3.5658,3.5548,3.5622,9137.9,1711256399999
55,1711256400000,3.5622,3.5681,3.5548,3.5662,10220.5,1711256699999
56,1711256700000,3.5658,3.5658,3.5571,3.5603,4992.2,1711256999999
57,1711257000000,3.5601,3.5647,3.5549,3.5592,9154.8,1711257299999
58,1711257300000,3.5591,3.5661,3.5564,3.5648,5722.8,1711257599999
59,1711257600000,3.5646,3.5715,3.563,3.5691,5744.9,1711257899999
60,1711257900000,3.5691,3.5761,3.5678,3.5743,13081.1,1711258199999
61,1711258200000,3.5739,3.5766,3.5703,3.5733,22798.2,1711258499999
62,1711258500000,3.573,3.5749,3.5678,3.5735,6878.1,1711258799999
63,1711258800000,3.5733,3.5751,3.567,3.5694,6004.8,1711259099999
64,1711259100000,3.5685,3.5744,3.5672,3.5703,8556.4,1711259399999
65,1711259400000,3.5703,3.5737,3.5686,3.5708,9495.4,1711259699999
66,1711259700000,3.5708,3.5716,3.5664,3.5668,11643.6,1711259999999
67,1711260000000,3.5674,3.5684,3.5568,3.5606,21907.6,1711260299999
68,1711260300000,3.5606,3.5618,3.5547,3.5586,9618.4,1711260599999
69,1711260600000,3.5594,3.57,3.5571,3.5661,10206.4,1711260899999
70,1711260900000,3.5656,3.5723,3.5642,3.5699,8193.8,1711261199999
71,1711261200000,3.5696,3.5704,3.5578,3.5583,8923.5,1711261499999
72,1711261500000,3.5579,3.5637,3.5528,3.5581,12817.4,1711261799999
73,1711261800000,3.558,3.5605,3.5472,3.5476,17566.5,1711262099999
74,1711262100000,3.5483,3.5504,3.5437,3.5446,8924.0,1711262399999
75,1711262400000,3.5448,3.5487,3.539,3.5483,10706.9,1711262699999
76,1711262700000,3.5478,3.5487,3.5374,3.5436,13455.0,1711262999999
77,1711263000000,3.5433,3.5471,3.5395,3.5433,14128.6,1711263299999
78,1711263300000,3.543,3.555,3.5429,3.5516,8113.0,1711263599999
