,open_time,open,high,low,close,VOLUME,close_time
0,1711240500000,0.6782,0.6784,0.6743,0.6754,922931.0,1711240799999
1,1711240800000,0.6754,0.6765,0.6746,0.6758,464326.0,1711241099999
2,1711241100000,0.6757,0.6772,0.6741,0.677,668730.0,1711241399999
3,1711241400000,0.6769,0.6839,0.6768,0.6839,1316280.0,1711241699999
4,1711241700000,0.6838,0.6839,0.6808,0.6813,937563.0,1711241999999
5,1711242000000,0.6812,0.6813,0.6772,0.6776,663324.0,1711242299999
6,1711242300000,0.6775,0.6776,0.6754,0.6762,483186.0,1711242599999
7,1711242600000,0.6763,0.6766,0.6736,0.6753,411163.0,1711242899999
8,1711242900000,0.6753,0.6753,0.6718,0.6718,558989.0,1711243199999
9,1711243200000,0.6718,0.6755,0.6704,0.6753,666772.0,1711243499999
10,1711243500000,0.6752,0.6774,0.6745,0.6746,672937.0,1711243799999
11,1711243800000,0.6746,0.6747,0.6727,0.6731,465595.0,1711244099999
12,1711244100000,0.6731,0.674,0.671,0.6718,453601.0,1711244399999
13,1711244400000,0.6718,0.6732,0.6712,0.6715,554440.0,1711244699999
14,1711244700000,0.6715,0.6731,0.6714,0.6718,286221.0,1711244999999
15,1711245000000,0.6718,0.6741,0.6716,0.6729,374578.0,1711245299999
16,1711245300000,0.6729,0.6757,0.6729,0.675,421990.0,1711245599999
17,1711245600000,0.6751,0.6751,0.6717,0.6731,600798.0,1711245899999
18,1711245900000,0.6732,0.6739,0.673,0.6734,238171.0,1711246199999
19,1711246200000,0.6735,0.6737,0.6722,0.6723,251820.0,1711246499999
20,1711246500000,0.6722,0.6724,0.6701,0.6705,607745.0,1711246799999
21,1711246800000,0.6705,0.6705,0.668,0.6692,478661.0,1711247099999
22,1711247100000,0.6692,0.6703,0.6682,0.6692,421905.0,1711247399999
23,1711247400000,0.6692,0.6702,0.6681,0.6696,440476.0,1711247699999
24,1711247700000,0.6698,0.6709,0.6697,0.6698,392682.0,1711247999999
25,1711248000000,0.6697,0.6724,0.6691,0.6724,465977.0,1711248299999
26,1711248300000,0.6725,0.6731,0.6695,0.6714,420044.0,1711248599999
27,1711248600000,0.6714,0.672,0.6684,0.6697,317360.0,1711248899999
28,1711248900000,0.6696,0.6708,0.6696,0.6705,267336.0,1711249199999
29,1711249200000,0.6704,0.671,0.666,0.6665,1263449.0,1711249499999
30,1711249500000,0.6665,0.6667,0.6621,0.6625,2230592.0,1711249799999
31,1711249800000,0.6624,0.6633,0.6613,0.6632,1253771.0,1711250099999
32,1711250100000,0.6633,0.6652,0.6631,0.6644,904977.0,1711250399999
33,1711250400000,0.6645,0.6658,0.663,0.6636,409989.0,1711250699999
34,1711250700000,0.6637,0.6651,0.6632,0.6645,359503.0,1711250999999
35,1711251000000,0.6645,0.6649,0.6611,0.6615,661360.0,1711251299999
36,1711251300000,0.6615,0.6645,0.6608,0.6628,708261.0,1711251599999
37,1711251600000,0.6628,0.6634,0.6619,0.6623,262156.0,1711251899999
38,1711251900000,0.6623,0.664,0.6616,0.6626,338901.0,1711252199999
39,1711252200000,0.6626,0.6634,0.6612,0.6614,312322.0,1711252499999
40,1711252500000,0.6615,0.6626,0.661,0.6611,411027.0,1711252799999
41,1711252800000,0.6612,0.6625,0.6594,0.6613,748646.0,1711253099999
42,1711253100000,0.6614,0.6641,0.6614,0.6634,581843.0,1711253399999
43,1711253400000,0.6634,0.6639,0.6617,0.6637,356095.0,1711253699999
44,1711253700000,0.6636,0.6642,0.6625,0.663,608179.0,1711253999999
45,1711254000000,0.663,0.663,0.6594,0.6597,894752.0,1711254299999
46,1711254300000,0.6597,0.6605,0.6588,0.6599,743099.0,1711254599999
47,1711254600000,0.6599,0.662,0.6597,0.6619,545157.0,1711254899999
48,1711254900000,0.6618,0.662,0.6599,0.6603,369083.0,1711255199999
49,1711255200000,0.6603,0.6637,0.6599,0.663,533911.0,1711255499999
50,1711255500000,0.6629,0.6639,0.6607,0.6613,229526.0,1711255799999
51,1711255800000,0.6613,0.6623,0.6603,0.6613,274605.0,1711256099999
52,1711256100000,0.6613,0.6626,0.6606,0.662,292435.0,1711256399999
53,1711256400000,0.6619,0.664,0.6612,0.6629,490839.0,1711256699999
54,1711256700000,0.6628,0.6628,0.6613,0.6619,295156.0,1711256999999
55,1711257000000,0.6619,0.6621,0.6605,0.6607,179310.0,1711257299999
56,1711257300000,0.6607,0.6629,0.6603,0.6628,143230.0,1711257599999
57,1711257600000,0.6627,0.6644,0.6627,0.6633,267277.0,1711257899999
58,1711257900000,0.6633,0.6649,0.6629,0.6642,300912.0,1711258199999
59,1711258200000,0.6642,0.6652,0.6641,0.6649,439580.0,1711258499999
60,1711258500000,0.6649,0.6651,0.6642,0.6651,246813.0,1711258799999
61,1711258800000,0.6651,0.6661,0.6648,0.6649,356092.0,1711259099999
62,1711259100000,0.6649,0.6655,0.6642,0.6651,308282.0,1711259399999
63,1711259400000,0.6651,0.6652,0.6632,0.6639,462925.0,1711259699999
64,1711259700000,0.6638,0.6638,0.6617,0.6621,302339.0,1711259999999
65,1711260000000,0.6621,0.6625,0.6596,0.6599,601362.0,1711260299999
66,1711260300000,0.6599,0.6603,0.6584,0.6598,494037.0,1711260599999
67,1711260600000,0.6599,0.6618,0.6594,0.6612,383749.0,1711260899999
68,1711260900000,0.6612,0.6632,0.661,0.6622,384377.0,1711261199999
69,1711261200000,0.6622,0.6623,0.6595,0.6596,428366.0,1711261499999
70,1711261500000,0.6595,0.6609,0.6591,0.6595,350052.0,1711261799999
71,1711261800000,0.6596,0.6597,0.6582,0.6584,342998.0,1711262099999
72,1711262100000,0.6585,0.6592,0.6574,0.658,498412.0,1711262399999
73,1711262400000,0.658,0.658,0.6561,0.6574,562120.0,1711262699999
74,1711262700000,0.6574,0.6576,0.6549,0.6563,740432.0,1711262999999
