,open_time,open,high,low,close,VOLUME,close_time
0,1711240800000,1.6568,1.667,1.6559,1.6621,1280645.3,1711241099999
1,1711241100000,1.6621,1.6635,1.6572,1.6573,343244.3,1711241399999
2,1711241400000,1.6574,1.6588,1.6565,1.657,255498.5,1711241699999
3,1711241700000,1.6571,1.6595,1.657,1.6592,233628.3,1711241999999
4,1711242000000,1.6591,1.6596,1.6486,1.6549,1062982.4,1711242299999
5,1711242300000,1.6547,1.6586,1.6533,1.6583,231725.0,1711242599999
6,1711242600000,1.6583,1.6604,1.656,1.6604,240728.8,1711242899999
7,1711242900000,1.6603,1.6605,1.6553,1.6571,206014.2,1711243199999
8,1711243200000,1.6571,1.6587,1.6527,1.6581,251254.5,1711243499999
9,1711243500000,1.6581,1.6632,1.658,1.6597,296514.4,1711243799999
10,1711243800000,1.6598,1.6624,1.6578,1.6607,166079.5,1711244099999
11,1711244100000,1.6607,1.661,1.6559,1.657,151461.3,1711244399999
12,1711244400000,1.6571,1.6578,1.6544,1.6558,199864.4,1711244699999
13,1711244700000,1.6559,1.663,1.6555,1.6586,571673.9,1711244999999
14,1711245000000,1.6587,1.664,1.658,1.6622,227000.5,1711245299999
15,1711245300000,1.6622,1.6645,1.659,1.6594,297306.9,1711245599999
16,1711245600000,1.6594,1.6596,1.6556,1.6589,378348.6,1711245899999
17,1711245900000,1.6589,1.6611,1.6567,1.661,502442.1,1711246199999
18,1711246200000,1.661,1.661,1.6586,1.6599,120226.0,1711246499999
19,1711246500000,1.66,1.66,1.6544,1.6561,221903.6,1711246799999
20,1711246800000,1.6562,1.6564,1.6503,1.652,360173.5,1711247099999
21,1711247100000,1.6518,1.6545,1.6503,1.6517,215890.4,1711247399999
22,1711247400000,1.6517,1.6519,1.6479,1.6483,298678.1,1711247699999
23,1711247700000,1.6483,1.6515,1.6483,1.6499,174416.6,1711247999999
24,1711248000000,1.6499,1.66,1.6487,1.6599,1008587.5,1711248299999
25,1711248300000,1.66,1.6627,1.6578,1.6623,339659.2,1711248599999
26,1711248600000,1.6624,1.6642,1.657,1.6605,230383.8,1711248899999
27,1711248900000,1.6605,1.6644,1.6572,1.6633,429784.2,1711249199999
28,1711249200000,1.6633,1.6639,1.6558,1.6561,384424.2,1711249499999
29,1711249500000,1.6559,1.6559,1.6477,1.6488,632610.5,1711249799999
30,1711249800000,1.6488,1.6489,1.6435,1.6469,586185.1,1711250099999
31,1711250100000,1.6468,1.653,1.6462,1.6503,317800.4,1711250399999
32,1711250400000,1.6503,1.6537,1.6474,1.649,384695.1,1711250699999
33,1711250700000,1.6492,1.6543,1.6483,1.6528,533208.6,1711250999999
34,1711251000000,1.6529,1.6529,1.6438,1.6441,386107.6,1711251299999
35,1711251300000,1.6439,1.6515,1.6428,1.6496,294296.4,1711251599999
36,1711251600000,1.6496,1.6547,1.6473,1.652,368813.7,1711251899999
37,1711251900000,1.652,1.6566,1.6513,1.6527,274810.0,1711252199999
38,1711252200000,1.6526,1.6561,1.651,1.6525,380685.6,1711252499999
39,1711252500000,1.6526,1.6536,1.65,1.6506,600635.3,1711252799999
40,1711252800000,1.6507,1.6571,1.6503,1.6566,532199.9,1711253099999
41,1711253100000,1.6566,1.6594,1.6544,1.6562,467555.7,1711253399999
42,1711253400000,1.6566,1.6566,1.6507,1.653,232513.3,1711253699999
43,1711253700000,1.6529,1.6583,1.6526,1.6549,389647.8,1711253999999
44,1711254000000,1.6548,1.6548,1.65,1.6508,548454.8,1711254299999
45,1711254300000,1.6507,1.6525,1.647,1.6489,561007.0,1711254599999
46,1711254600000,1.6489,1.6549,1.6475,1.6527,343803.5,1711254899999
47,1711254900000,1.6527,1.6541,1.6477,1.649,231712.2,1711255199999
48,1711255200000,1.6489,1.6557,1.6477,1.6544,241184.9,1711255499999
49,1711255500000,1.6538,1.6559,1.6486,1.6491,254637.0,1711255799999
50,1711255800000,1.6491,1.6519,1.6474,1.6498,219529.4,1711256099999
51,1711256100000,1.65,1.6546,1.6497,1.6535,221202.7,1711256399999
52,1711256400000,1.6536,1.6566,1.6509,1.6534,339418.8,1711256699999
53,1711256700000,1.6533,1.6533,1.6509,1.652,163681.6,1711256999999
54,1711257000000,1.652,1.6536,1.6497,1.6503,208504.3,1711257299999
55,1711257300000,1.6503,1.6543,1.649,1.6527,162391.1,1711257599999
56,1711257600000,1.6525,1.6556,1.6468,1.6474,570838.4,1711257899999
57,1711257900000,1.6475,1.6475,1.6444,1.6448,386564.7,1711258199999
58,1711258200000,1.6448,1.646,1.6421,1.644,400951.4,1711258499999
59,1711258500000,1.644,1.6458,1.6388,1.6409,814361.7,1711258799999
60,1711258800000,1.6408,1.644,1.6379,1.6392,748063.4,1711259099999
61,1711259100000,1.6391,1.6395,1.6302,1.6362,1854861.2,1711259399999
62,1711259400000,1.6361,1.639,1.6357,1.6364,323971.5,1711259699999
63,1711259700000,1.6365,1.6375,1.6325,1.633,212803.8,1711259999999
64,1711260000000,1.6331,1.6349,1.6282,1.6292,825174.4,1711260299999
65,1711260300000,1.6292,1.6323,1.6275,1.6302,379573.9,1711260599999
66,1711260600000,1.6303,1.6345,1.6286,1.6311,292997.2,1711260899999
67,1711260900000,1.6311,1.635,1.6301,1.634,242757.2,1711261199999
68,1711261200000,1.6341,1.6351,1.6318,1.634,280464.2,1711261499999
69,1711261500000,1.6339,1.6374,1.6316,1.6331,231300.6,1711261799999
70,1711261800000,1.6334,1.6344,1.6282,1.6295,245405.8,1711262099999
71,1711262100000,1.6294,1.6326,1.6286,1.6312,278597.7,1711262399999
72,1711262400000,1.631,1.6313,1.6233,1.6299,737790.4,1711262699999
73,1711262700000,1.63,1.6309,1.6172,1.6274,2622277.3,1711262999999
74,1711263000000,1.6273,1.628,1.623,1.6263,581334.6,1711263299999
75,1711263300000,1.6263,1.6293,1.6258,1.6279,272862.7,1711263599999
76,1711263600000,1.6279,1.6283,1.6238,1.6281,301763.4,1711263899999
77,1711263900000,1.6281,1.6288,1.6237,1.6265,294174.3,1711264199999
78,1711264200000,1.6265,1.6312,1.6253,1.6285,527766.1,1711264499999
79,1711264500000,1.6285,1.6302,1.6241,1.6266,571040.6,1711264799999
80,1711264800000,1.6266,1.6287,1.624,1.628,389437.4,1711265099999
81,1711265100000,1.6283,1.6306,1.6278,1.6294,169221.5,1711265399999
