,open_time,open,high,low,close,VOLUME,close_time
0,1711240500000,1.6914,1.6923,1.6884,1.6899,40229.0,1711240799999
1,1711240800000,1.6899,1.6937,1.6897,1.6911,63912.0,1711241099999
2,1711241100000,1.6911,1.6927,1.688,1.692,22829.0,1711241399999
3,1711241400000,1.6919,1.6955,1.6916,1.6945,45529.0,1711241699999
4,1711241700000,1.6946,1.6951,1.6929,1.6929,25666.0,1711241999999
5,1711242000000,1.6929,1.695,1.6904,1.6943,51273.0,1711242299999
6,1711242300000,1.6943,1.698,1.6933,1.6971,38188.0,1711242599999
7,1711242600000,1.6972,1.6981,1.6891,1.6922,41020.0,1711242899999
8,1711242900000,1.6927,1.6928,1.6884,1.6893,26860.0,1711243199999
9,1711243200000,1.6892,1.6951,1.685,1.6946,73630.0,1711243499999
10,1711243500000,1.6944,1.6991,1.6942,1.6965,25399.0,1711243799999
11,1711243800000,1.6963,1.6991,1.6935,1.6947,51904.0,1711244099999
12,1711244100000,1.6948,1.6956,1.6894,1.6908,22240.0,1711244399999
13,1711244400000,1.6909,1.6918,1.6882,1.6894,14146.0,1711244699999
14,1711244700000,1.6894,1.6926,1.6894,1.6903,18392.0,1711244999999
15,1711245000000,1.6903,1.6965,1.6901,1.6932,39616.0,1711245299999
16,1711245300000,1.6931,1.6947,1.6918,1.6937,16307.0,1711245599999
17,1711245600000,1.6938,1.6942,1.6903,1.6929,38583.0,1711245899999
18,1711245900000,1.6934,1.698,1.6924,1.698,19971.0,1711246199999
19,1711246200000,1.698,1.6984,1.6946,1.6949,13311.0,1711246499999
20,1711246500000,1.6948,1.6948,1.6902,1.6918,15204.0,1711246799999
21,1711246800000,1.6917,1.6917,1.6862,1.6895,42768.0,1711247099999
22,1711247100000,1.6897,1.6909,1.6865,1.6877,14143.0,1711247399999
23,1711247400000,1.6875,1.6887,1.6843,1.6887,33822.0,1711247699999
24,1711247700000,1.6886,1.691,1.6885,1.6897,34872.0,1711247999999
25,1711248000000,1.6895,1.6922,1.6867,1.6919,22381.0,1711248299999
26,1711248300000,1.692,1.6928,1.6867,1.6897,19419.0,1711248599999
27,1711248600000,1.6897,1.6908,1.6862,1.6883,30477.0,1711248899999
28,1711248900000,1.6882,1.6898,1.6854,1.6876,34611.0,1711249199999
29,1711249200000,1.6874,1.6887,1.684,1.6844,21587.0,1711249499999
30,1711249500000,1.6841,1.6841,1.6746,1.6746,71552.0,1711249799999
31,1711249800000,1.6746,1.6747,1.6687,1.6722,131798.0,1711250099999
32,1711250100000,1.6715,1.6799,1.6713,1.6763,61960.0,1711250399999
33,1711250400000,1.6762,1.6786,1.6727,1.6763,46530.0,1711250699999
34,1711250700000,1.6763,1.6791,1.6749,1.6779,40365.0,1711250999999
35,1711251000000,1.6778,1.6787,1.6691,1.6699,73689.0,1711251299999
36,1711251300000,1.6699,1.6742,1.6674,1.6705,36177.0,1711251599999
37,1711251600000,1.6704,1.6716,1.6687,1.6704,28961.0,1711251899999
38,1711251900000,1.6704,1.6751,1.6692,1.6727,36773.0,1711252199999
39,1711252200000,1.6727,1.6745,1.67,1.6712,37716.0,1711252499999
40,1711252500000,1.6712,1.6717,1.663,1.6636,53913.0,1711252799999
41,1711252800000,1.6637,1.6679,1.6613,1.6668,55691.0,1711253099999
