,open_time,open,high,low,close,VOLUME,close_time
0,1711239600000,0.4218,0.4225,0.4213,0.4224,84982.9,1711239899999
1,1711239900000,0.4225,0.4254,0.4225,0.4251,357814.2,1711240199999
2,1711240200000,0.4251,0.4271,0.4243,0.4268,479433.8,1711240499999
3,1711240500000,0.4268,0.4273,0.4242,0.4251,527092.3,1711240799999
4,1711240800000,0.425,0.4263,0.4243,0.4246,568211.1,1711241099999
5,1711241100000,0.4246,0.4261,0.4239,0.4257,186580.7,1711241399999
6,1711241400000,0.4257,0.4266,0.4257,0.4265,126938.1,1711241699999
7,1711241700000,0.4265,0.427,0.4257,0.4257,117032.8,1711241999999
8,1711242000000,0.4257,0.4257,0.4244,0.4249,173057.0,1711242299999
9,1711242300000,0.4247,0.4251,0.4237,0.4247,111859.3,1711242599999
10,1711242600000,0.4247,0.4257,0.4232,0.4241,117487.9,1711242899999
11,1711242900000,0.4243,0.4243,0.4228,0.4229,59038.1,1711243199999
12,1711243200000,0.4228,0.4242,0.4222,0.4242,118117.5,1711243499999
13,1711243500000,0.4241,0.4254,0.4241,0.4244,103949.0,1711243799999
14,1711243800000,0.4244,0.4252,0.4238,0.424,108153.8,1711244099999
15,1711244100000,0.424,0.4241,0.4226,0.4235,58782.4,1711244399999
16,1711244400000,0.4234,0.4243,0.423,0.4232,64779.5,1711244699999
17,1711244700000,0.4232,0.4244,0.4232,0.424,79874.0,1711244999999
18,1711245000000,0.4239,0.4252,0.4238,0.4246,71550.5,1711245299999
19,1711245300000,0.4247,0.4257,0.4247,0.4257,65472.6,1711245599999
20,1711245600000,0.4256,0.4257,0.4234,0.424,226854.4,1711245899999
21,1711245900000,0.4242,0.4262,0.424,0.4262,107979.6,1711246199999
22,1711246200000,0.4262,0.4267,0.4252,0.426,157592.3,1711246499999
23,1711246500000,0.4259,0.4262,0.4244,0.4249,168475.7,1711246799999
24,1711246800000,0.4249,0.4249,0.4234,0.4239,103747.6,1711247099999
25,1711247100000,0.4239,0.4242,0.4232,0.4237,133779.4,1711247399999
26,1711247400000,0.4237,0.4237,0.4223,0.4227,187295.7,1711247699999
27,1711247700000,0.4228,0.4238,0.4226,0.4236,76495.7,1711247999999
28,1711248000000,0.4236,0.4262,0.423,0.4256,160858.0,1711248299999
29,1711248300000,0.4257,0.426,0.423,0.425,173960.5,1711248599999
30,1711248600000,0.425,0.4255,0.4232,0.4245,157834.0,1711248899999
31,1711248900000,0.4245,0.4249,0.4241,0.4246,127832.9,1711249199999
32,1711249200000,0.4247,0.425,0.4229,0.4231,85908.2,1711249499999
33,1711249500000,0.423,0.423,0.4207,0.421,277222.2,1711249799999
34,1711249800000,0.4209,0.4211,0.4191,0.4198,228967.6,1711250099999
35,1711250100000,0.4199,0.4219,0.4198,0.4216,180529.5,1711250399999
36,1711250400000,0.4216,0.4222,0.421,0.4213,83900.8,1711250699999
37,1711250700000,0.4214,0.4217,0.4203,0.4209,91656.2,1711250999999
38,1711251000000,0.4208,0.4211,0.4188,0.4189,182472.2,1711251299999
39,1711251300000,0.4189,0.4204,0.4184,0.4198,107071.2,1711251599999
40,1711251600000,0.4198,0.4203,0.4189,0.42,163650.5,1711251899999
41,1711251900000,0.42,0.4209,0.4198,0.4201,91377.9,1711252199999
42,1711252200000,0.4201,0.4209,0.4194,0.4195,100120.4,1711252499999
43,1711252500000,0.4194,0.4202,0.4187,0.4187,52378.8,1711252799999
44,1711252800000,0.4188,0.4194,0.4183,0.4187,86272.4,1711253099999
45,1711253100000,0.4187,0.4207,0.4187,0.4207,29679.5,1711253399999
46,1711253400000,0.4207,0.4207,0.4188,0.4199,63661.7,1711253699999
47,1711253700000,0.4199,0.4201,0.4191,0.4193,101006.2,1711253999999
48,1711254000000,0.4193,0.4193,0.4174,0.4174,112958.3,1711254299999
49,1711254300000,0.4175,0.4178,0.4168,0.4172,73214.1,1711254599999
50,1711254600000,0.4173,0.4195,0.4173,0.4193,172478.5,1711254899999
51,1711254900000,0.4193,0.4197,0.4172,0.4173,76513.8,1711255199999
52,1711255200000,0.4172,0.4196,0.417,0.4192,141047.1,1711255499999
53,1711255500000,0.4193,0.4204,0.418,0.4183,53786.4,1711255799999
54,1711255800000,0.4182,0.4189,0.4178,0.4183,49935.4,1711256099999
55,1711256100000,0.4183,0.42,0.4183,0.4199,60180.8,1711256399999
56,1711256400000,0.42,0.4204,0.419,0.4196,96449.4,1711256699999
57,1711256700000,0.4194,0.4195,0.4183,0.419,166606.2,1711256999999
58,1711257000000,0.4189,0.4194,0.4183,0.4188,34320.5,1711257299999
59,1711257300000,0.4188,0.4204,0.4184,0.4204,34833.1,1711257599999
60,1711257600000,0.4203,0.4225,0.4203,0.4224,126710.5,1711257899999
61,1711257900000,0.4223,0.423,0.4221,0.4227,59466.7,1711258199999
62,1711258200000,0.4226,0.4242,0.4224,0.424,142264.7,1711258499999
63,1711258500000,0.4239,0.424,0.4236,0.4237,42838.4,1711258799999
64,1711258800000,0.4238,0.424,0.423,0.4231,178511.0,1711259099999
65,1711259100000,0.423,0.4238,0.4228,0.4237,62533.8,1711259399999
66,1711259400000,0.4238,0.424,0.4233,0.4234,98068.3,1711259699999
67,1711259700000,0.4234,0.4235,0.4224,0.4226,84392.1,1711259999999
68,1711260000000,0.4226,0.4227,0.4204,0.4208,174375.1,1711260299999
69,1711260300000,0.4207,0.4207,0.4198,0.4201,63025.2,1711260599999
70,1711260600000,0.42,0.4215,0.4197,0.4204,54105.9,1711260899999
71,1711260900000,0.4203,0.4214,0.4202,0.4208,57803.8,1711261199999
72,1711261200000,0.4209,0.4209,0.4194,0.4194,69249.3,1711261499999
73,1711261500000,0.4194,0.4204,0.4191,0.4198,67565.9,1711261799999
74,1711261800000,0.4199,0.4199,0.418,0.418,80183.3,1711262099999
75,1711262100000,0.418,0.4181,0.4172,0.4173,109724.1,1711262399999
76,1711262400000,0.4173,0.418,0.4165,0.4179,85508.3,1711262699999
77,1711262700000,0.4178,0.4181,0.4169,0.418,100590.6,1711262999999
78,1711263000000,0.4179,0.4182,0.4173,0.4179,51936.3,1711263299999
79,1711263300000,0.4179,0.4193,0.4179,0.419,61749.2,1711263599999
80,1711263600000,0.419,0.4191,0.4177,0.4182,103851.3,1711263899999
81,1711263900000,0.4182,0.4188,0.4172,0.4175,51696.2,1711264199999
82,1711264200000,0.4175,0.4183,0.4173,0.418,47860.5,1711264499999
83,1711264500000,0.418,0.4183,0.4174,0.4174,38894.4,1711264799999
