,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,3.6617,3.6666,3.6603,3.6633,22049.2,1711240199999
1,1711240200000,3.6633,3.6834,3.6594,3.6831,37223.4,1711240499999
2,1711240500000,3.6831,3.6843,3.6662,3.671,26597.6,1711240799999
3,1711240800000,3.6705,3.673,3.666,3.6694,13608.7,1711241099999
4,1711241100000,3.669,3.6722,3.663,3.6696,24184.3,1711241399999
5,1711241400000,3.6694,3.6773,3.6688,3.671,15180.8,1711241699999
6,1711241700000,3.6711,3.6777,3.6711,3.6747,16040.6,1711241999999
7,1711242000000,3.6752,3.6784,3.6669,3.6693,24634.9,1711242299999
8,1711242300000,3.6692,3.6794,3.6646,3.6717,22102.6,1711242599999
9,1711242600000,3.6724,3.6775,3.6555,3.6648,17456.2,1711242899999
10,1711242900000,3.665,3.6651,3.6516,3.6524,25762.5,1711243199999
11,1711243200000,3.6523,3.6611,3.6408,3.661,53914.6,1711243499999
12,1711243500000,3.6603,3.6781,3.6597,3.6715,36459.9,1711243799999
13,1711243800000,3.6713,3.6713,3.6623,3.6635,14728.3,1711244099999
14,1711244100000,3.6634,3.6656,3.6566,3.665,28368.7,1711244399999
15,1711244400000,3.6647,3.6691,3.6611,3.6646,21294.4,1711244699999
16,1711244700000,3.6646,3.6737,3.6627,3.6652,15075.3,1711244999999
17,1711245000000,3.665,3.6769,3.665,3.675,18180.0,1711245299999
18,1711245300000,3.6747,3.6808,3.6742,3.676,16319.4,1711245599999
19,1711245600000,3.6761,3.6793,3.6624,3.6704,20783.1,1711245899999
20,1711245900000,3.6705,3.6758,3.6671,3.6758,11787.4,1711246199999
21,1711246200000,3.676,3.6769,3.6663,3.6704,9546.5,1711246499999
22,1711246500000,3.6701,3.6704,3.657,3.6619,18111.2,1711246799999
23,1711246800000,3.6618,3.6618,3.6519,3.6551,51266.9,1711247099999
24,1711247100000,3.6551,3.6606,3.6504,3.6556,22646.8,1711247399999
25,1711247400000,3.6555,3.6582,3.6474,3.6578,14968.7,1711247699999
26,1711247700000,3.6575,3.6626,3.6575,3.6606,7392.4,1711247999999
27,1711248000000,3.6599,3.6708,3.6552,3.6661,20182.9,1711248299999
28,1711248300000,3.6663,3.6677,3.6568,3.664,16245.3,1711248599999
29,1711248600000,3.664,3.6672,3.6491,3.654,18105.2,1711248899999
30,1711248900000,3.6538,3.6591,3.6499,3.6551,12581.5,1711249199999
31,1711249200000,3.6548,3.6567,3.6427,3.6453,17118.4,1711249499999
32,1711249500000,3.6437,3.6437,3.615,3.6166,81161.4,1711249799999
33,1711249800000,3.6173,3.6189,3.6012,3.6099,123119.9,1711250099999
34,1711250100000,3.61,3.6272,3.6094,3.6271,53260.5,1711250399999
35,1711250400000,3.627,3.6349,3.6201,3.6257,50804.7,1711250699999
36,1711250700000,3.6267,3.6317,3.6221,3.6274,20019.2,1711250999999
37,1711251000000,3.6276,3.63,3.6025,3.6057,42107.1,1711251299999
38,1711251300000,3.6066,3.6143,3.6005,3.6055,27941.5,1711251599999
39,1711251600000,3.6055,3.6071,3.596,3.6029,48579.6,1711251899999
40,1711251900000,3.6023,3.6201,3.5995,3.6116,56142.3,1711252199999
41,1711252200000,3.6108,3.6224,3.6067,3.6129,33205.3,1711252499999
42,1711252500000,3.6116,3.6166,3.6022,3.6023,12631.6,1711252799999
43,1711252800000,3.6032,3.6113,3.5961,3.607,19580.8,1711253099999
44,1711253100000,3.6063,3.624,3.6057,3.6198,60227.5,1711253399999
45,1711253400000,3.6198,3.6208,3.6081,3.6166,32605.3,1711253699999
46,1711253700000,3.6166,3.6166,3.6038,3.6044,14796.0,1711253999999
47,1711254000000,3.6038,3.6038,3.587,3.5888,41605.0,1711254299999
48,1711254300000,3.5894,3.5941,3.5832,3.5921,41055.0,1711254599999
49,1711254600000,3.5915,3.6014,3.5907,3.5968,22902.0,1711254899999
50,1711254900000,3.5976,3.6016,3.589,3.5926,17336.2,1711255199999
51,1711255200000,3.5922,3.6083,3.591,3.6054,23737.5,1711255499999
52,1711255500000,3.6062,3.6148,3.5987,3.6005,23809.4,1711255799999
53,1711255800000,3.5998,3.6082,3.597,3.6049,15370.6,1711256099999
54,1711256100000,3.6048,3.6168,3.6043,3.6136,15339.7,1711256399999
55,1711256400000,3.6135,3.6217,3.6078,3.6137,36121.9,1711256699999
56,1711256700000,3.6133,3.6133,3.6019,3.6075,21213.2,1711256999999
57,1711257000000,3.6074,3.6103,3.6017,3.6043,12246.5,1711257299999
58,1711257300000,3.6036,3.6164,3.6031,3.6123,17709.3,1711257599999
59,1711257600000,3.6122,3.6193,3.6108,3.6159,13071.7,1711257899999
60,1711257900000,3.616,3.6212,3.6143,3.6189,7230.8,1711258199999
61,1711258200000,3.6189,3.6289,3.617,3.628,43458.5,1711258499999
62,1711258500000,3.6272,3.6287,3.6246,3.6259,9201.3,1711258799999
63,1711258800000,3.6262,3.6324,3.6248,3.6301,21460.8,1711259099999
64,1711259100000,3.6305,3.638,3.6293,3.636,16426.8,1711259399999
65,1711259400000,3.6358,3.6398,3.6333,3.6351,11968.4,1711259699999
66,1711259700000,3.6355,3.6355,3.6182,3.6222,56792.6,1711259999999
67,1711260000000,3.6221,3.6231,3.6145,3.6176,17913.4,1711260299999
68,1711260300000,3.6182,3.619,3.6095,3.6144,15327.7,1711260599999
69,1711260600000,3.6149,3.6291,3.6131,3.62,17269.3,1711260899999
70,1711260900000,3.6198,3.627,3.618,3.6237,11722.2,1711261199999
71,1711261200000,3.6233,3.6245,3.6137,3.6144,14686.2,1711261499999
72,1711261500000,3.6139,3.6173,3.6084,3.6114,12802.9,1711261799999
73,1711261800000,3.6109,3.6115,3.5989,3.5995,33266.3,1711262099999
74,1711262100000,3.5991,3.6023,3.5912,3.5912,20815.4,1711262399999
75,1711262400000,3.5919,3.5946,3.586,3.5913,19046.8,1711262699999
76,1711262700000,3.5911,3.5937,3.5829,3.592,33893.4,1711262999999
77,1711263000000,3.5922,3.593,3.5836,3.5912,32671.0,1711263299999
78,1711263300000,3.5908,3.6012,3.5908,3.5974,18340.3,1711263599999
79,1711263600000,3.5984,3.6015,3.591,3.5965,15543.3,1711263899999
80,1711263900000,3.596,3.5981,3.5894,3.5968,10939.0,1711264199999
81,1711264200000,3.5965,3.6024,3.5934,3.5966,19612.8,1711264499999
82,1711264500000,3.5961,3.5995,3.5908,3.5912,19410.2,1711264799999
83,1711264800000,3.5915,3.5955,3.5874,3.5941,17685.9,1711265099999
84,1711265100000,3.595,3.6026,3.5932,3.5967,13686.5,1711265399999
85,1711265400000,3.5967,3.6026,3.5887,3.5906,19681.8,1711265699999
86,1711265700000,3.5906,3.593,3.5856,3.5863,17592.0,1711265999999
87,1711266000000,3.5868,3.6156,3.5849,3.6143,46194.0,1711266299999
88,1711266300000,3.6143,3.6143,3.6029,3.6037,12552.1,1711266599999
89,1711266600000,3.6029,3.6064,3.5972,3.5998,24394.4,1711266899999
90,1711266900000,3.5992,3.6156,3.5984,3.6154,15519.9,1711267199999
91,1711267200000,3.6152,3.6152,3.6041,3.6091,32185.5,1711267499999
92,1711267500000,3.6089,3.63,3.6085,3.628,49621.3,1711267799999
93,1711267800000,3.6284,3.6393,3.6253,3.6373,53577.0,1711268099999
94,1711268100000,3.6369,3.6391,3.6209,3.6248,42752.7,1711268399999
95,1711268400000,3.6256,3.634,3.6255,3.6284,21830.9,1711268699999
96,1711268700000,3.6285,3.6326,3.6246,3.6263,15420.3,1711268999999
97,1711269000000,3.6262,3.6295,3.6186,3.6255,19467.7,1711269299999
98,1711269300000,3.625,3.6346,3.6221,3.6295,22589.9,1711269599999
99,1711269600000,3.6295,3.639,3.6295,3.6389,17117.5,1711269899999
100,1711269900000,3.6388,3.6439,3.6348,3.6431,27553.1,1711270199999
101,1711270200000,3.6431,3.6539,3.6429,3.6522,23957.5,1711270499999
102,1711270500000,3.6527,3.6589,3.648,3.6564,37120.7,1711270799999
103,1711270800000,3.6568,3.6577,3.6456,3.6465,36199.8,1711271099999
104,1711271100000,3.6475,3.6496,3.6412,3.6452,17964.1,1711271399999
105,1711271400000,3.6444,3.6444,3.6324,3.6335,23103.0,1711271699999
106,1711271700000,3.6338,3.6419,3.625,3.6257,19136.3,1711271999999
107,1711272000000,3.6265,3.6351,3.6225,3.6351,30614.0,1711272299999
108,1711272300000,3.635,3.6385,3.6277,3.6297,15011.3,1711272599999
109,1711272600000,3.6301,3.6387,3.6278,3.6349,19807.7,1711272899999
110,1711272900000,3.6346,3.643,3.6337,3.637,12675.4,1711273199999
111,1711273200000,3.6369,3.6387,3.6299,3.6315,8572.4,1711273499999
112,1711273500000,3.6315,3.6351,3.6278,3.6333,10742.0,1711273799999
113,1711273800000,3.633,3.6397,3.6324,3.6387,17396.7,1711274099999
114,1711274100000,3.6388,3.6418,3.6346,3.6412,22420.2,1711274399999
115,1711274400000,3.6412,3.6484,3.6379,3.6424,23127.7,1711274699999
116,1711274700000,3.6432,3.6529,3.6425,3.6496,13668.1,1711274999999
117,1711275000000,3.6488,3.6515,3.6419,3.642,17126.5,1711275299999
118,1711275300000,3.6419,3.6465,3.6371,3.6437,23915.3,1711275599999
119,1711275600000,3.6441,3.6481,3.6409,3.6409,15373.7,1711275899999
