,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,8.5219,8.5786,8.516,8.5757,185448.0,1711240499999
1,1711240500000,8.5763,8.5785,8.5461,8.5566,128230.0,1711240799999
2,1711240800000,8.557,8.5624,8.5421,8.5539,82716.0,1711241099999
3,1711241100000,8.5546,8.5639,8.5298,8.5585,87547.0,1711241399999
4,1711241400000,8.5585,8.5665,8.5385,8.5421,87031.0,1711241699999
5,1711241700000,8.5422,8.5622,8.5421,8.5452,45615.0,1711241999999
6,1711242000000,8.546,8.547,8.5063,8.5257,130881.0,1711242299999
7,1711242300000,8.5256,8.5532,8.509,8.5444,109253.0,1711242599999
8,1711242600000,8.5445,8.5621,8.5191,8.5406,100985.0,1711242899999
9,1711242900000,8.5405,8.5495,8.5201,8.5255,74297.0,1711243199999
10,1711243200000,8.5249,8.5603,8.492,8.556,213154.0,1711243499999
11,1711243500000,8.5553,8.5966,8.555,8.5692,191452.0,1711243799999
12,1711243800000,8.5692,8.5756,8.5488,8.5642,90863.0,1711244099999
13,1711244100000,8.5642,8.5745,8.5461,8.5546,68846.0,1711244399999
14,1711244400000,8.5544,8.559,8.5223,8.5265,114938.0,1711244699999
15,1711244700000,8.5246,8.5365,8.5193,8.5247,72313.0,1711244999999
16,1711245000000,8.5244,8.5384,8.5123,8.5146,75674.0,1711245299999
17,1711245300000,8.514,8.5197,8.496,8.5005,85348.0,1711245599999
18,1711245600000,8.5,8.5064,8.4654,8.4898,238693.0,1711245899999
19,1711245900000,8.4901,8.52,8.4863,8.5172,96143.0,1711246199999
20,1711246200000,8.5158,8.5191,8.4803,8.5034,82232.0,1711246499999
21,1711246500000,8.5034,8.5073,8.457,8.4769,157805.0,1711246799999
22,1711246800000,8.4782,8.4783,8.3957,8.4452,437786.0,1711247099999
23,1711247100000,8.4453,8.4724,8.4348,8.4721,116807.0,1711247399999
24,1711247400000,8.4721,8.4732,8.4378,8.4598,97831.0,1711247699999
25,1711247700000,8.4604,8.4725,8.447,8.461,75911.0,1711247999999
26,1711248000000,8.4616,8.5328,8.4483,8.5054,356763.0,1711248299999
27,1711248300000,8.5053,8.5429,8.4961,8.5374,239598.0,1711248599999
28,1711248600000,8.536,8.5398,8.4709,8.5007,115435.0,1711248899999
29,1711248900000,8.5013,8.5301,8.4807,8.5244,113000.0,1711249199999
30,1711249200000,8.5245,8.5254,8.4741,8.4854,93311.0,1711249499999
31,1711249500000,8.4855,8.4855,8.38,8.384,874080.0,1711249799999
32,1711249800000,8.3837,8.385,8.1849,8.3013,2575830.0,1711250099999
33,1711250100000,8.3004,8.33,8.2666,8.2831,436005.0,1711250399999
34,1711250400000,8.2831,8.3055,8.2373,8.286,397851.0,1711250699999
35,1711250700000,8.286,8.3178,8.2785,8.3156,223582.0,1711250999999
36,1711251000000,8.3154,8.3207,8.2586,8.2644,213975.0,1711251299999
37,1711251300000,8.2644,8.2999,8.2571,8.2692,152814.0,1711251599999
38,1711251600000,8.2692,8.2817,8.2513,8.262,119903.0,1711251899999
39,1711251900000,8.262,8.2948,8.2555,8.2798,127224.0,1711252199999
40,1711252200000,8.2804,8.3054,8.24,8.2566,199148.0,1711252499999
41,1711252500000,8.2562,8.2744,8.2415,8.2482,159613.0,1711252799999
42,1711252800000,8.2487,8.2675,8.1711,8.2175,509864.0,1711253099999
43,1711253100000,8.2184,8.2633,8.2163,8.2591,149448.0,1711253399999
44,1711253400000,8.2582,8.2628,8.2131,8.2358,161850.0,1711253699999
45,1711253700000,8.2347,8.2347,8.1939,8.219,160754.0,1711253999999
46,1711254000000,8.2177,8.2181,8.1729,8.1846,248751.0,1711254299999
47,1711254300000,8.1846,8.1867,8.1306,8.1751,452039.0,1711254599999
48,1711254600000,8.1753,8.1922,8.1434,8.1765,231286.0,1711254899999
49,1711254900000,8.1763,8.187,8.1376,8.1656,209684.0,1711255199999
50,1711255200000,8.1645,8.2169,8.1554,8.2131,200439.0,1711255499999
51,1711255500000,8.2126,8.2373,8.1892,8.2049,143507.0,1711255799999
52,1711255800000,8.2039,8.2333,8.1869,8.2098,145323.0,1711256099999
53,1711256100000,8.2098,8.2439,8.2052,8.2349,128254.0,1711256399999
54,1711256400000,8.235,8.2585,8.2282,8.244,145494.0,1711256699999
55,1711256700000,8.2439,8.2469,8.2048,8.2151,152358.0,1711256999999
56,1711257000000,8.2152,8.2233,8.2,8.218,73936.0,1711257299999
57,1711257300000,8.2171,8.2423,8.2065,8.2366,107721.0,1711257599999
58,1711257600000,8.2371,8.2576,8.2329,8.2423,103073.0,1711257899999
59,1711257900000,8.2429,8.2532,8.2261,8.2326,127466.0,1711258199999
60,1711258200000,8.2326,8.2437,8.2203,8.2399,98749.0,1711258499999
