,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,1.2025,1.2089,1.2016,1.2086,177159.0,1711240499999
1,1711240500000,1.2089,1.2104,1.2064,1.2074,167146.0,1711240799999
2,1711240800000,1.2075,1.2104,1.2066,1.2088,112399.0,1711241099999
3,1711241100000,1.2088,1.21,1.2059,1.2091,82501.0,1711241399999
4,1711241400000,1.209,1.2104,1.2073,1.2094,59171.0,1711241699999
5,1711241700000,1.2092,1.2116,1.209,1.2095,74906.0,1711241999999
6,1711242000000,1.2095,1.2095,1.2042,1.205,76024.0,1711242299999
7,1711242300000,1.2049,1.2083,1.2041,1.2069,67941.0,1711242599999
8,1711242600000,1.2069,1.209,1.203,1.2054,94120.0,1711242899999
9,1711242900000,1.2054,1.2055,1.2006,1.2013,78303.0,1711243199999
10,1711243200000,1.201,1.2051,1.1995,1.2046,55061.0,1711243499999
11,1711243500000,1.2045,1.2092,1.2044,1.2054,68051.0,1711243799999
12,1711243800000,1.2053,1.2063,1.203,1.205,49749.0,1711244099999
13,1711244100000,1.2049,1.2051,1.2012,1.2019,37505.0,1711244399999
14,1711244400000,1.2019,1.2035,1.1998,1.2,78187.0,1711244699999
15,1711244700000,1.2001,1.2019,1.1983,1.1996,134099.0,1711244999999
16,1711245000000,1.1993,1.2055,1.1985,1.2036,74047.0,1711245299999
17,1711245300000,1.2034,1.2058,1.2027,1.2056,43131.0,1711245599999
18,1711245600000,1.2058,1.206,1.2001,1.2019,69531.0,1711245899999
19,1711245900000,1.2019,1.2041,1.2012,1.2025,46038.0,1711246199999
20,1711246200000,1.2025,1.2035,1.1998,1.2001,40936.0,1711246499999
21,1711246500000,1.1996,1.2008,1.1974,1.1984,105699.0,1711246799999
22,1711246800000,1.1984,1.1984,1.1929,1.1936,91362.0,1711247099999
23,1711247100000,1.1936,1.1947,1.1904,1.1928,109243.0,1711247399999
24,1711247400000,1.1927,1.1933,1.1898,1.1913,88602.0,1711247699999
25,1711247700000,1.1915,1.1952,1.1915,1.1939,61672.0,1711247999999
26,1711248000000,1.1937,1.1977,1.1917,1.1961,53772.0,1711248299999
27,1711248300000,1.1963,1.1969,1.1913,1.1944,131927.0,1711248599999
28,1711248600000,1.1943,1.1955,1.1888,1.1907,82400.0,1711248899999
29,1711248900000,1.1907,1.1926,1.1884,1.1911,116536.0,1711249199999
30,1711249200000,1.1912,1.1924,1.1874,1.188,74037.0,1711249499999
31,1711249500000,1.1879,1.188,1.1805,1.1814,264573.0,1711249799999
32,1711249800000,1.1812,1.1815,1.1762,1.1784,228716.0,1711250099999
33,1711250100000,1.1783,1.1838,1.178,1.1833,115909.0,1711250399999
34,1711250400000,1.183,1.1854,1.1793,1.1793,94375.0,1711250699999
35,1711250700000,1.1798,1.1825,1.1781,1.1821,86705.0,1711250999999
36,1711251000000,1.1821,1.183,1.1757,1.1761,83192.0,1711251299999
37,1711251300000,1.1763,1.181,1.175,1.1784,80131.0,1711251599999
38,1711251600000,1.1783,1.18,1.1772,1.1784,89132.0,1711251899999
39,1711251900000,1.1779,1.1826,1.1776,1.179,80275.0,1711252199999
40,1711252200000,1.179,1.182,1.1784,1.1796,57513.0,1711252499999
41,1711252500000,1.1799,1.1812,1.1771,1.1775,59069.0,1711252799999
42,1711252800000,1.1776,1.1799,1.1761,1.1775,71126.0,1711253099999
43,1711253100000,1.1775,1.1824,1.1775,1.1822,50047.0,1711253399999
44,1711253400000,1.1823,1.183,1.1767,1.1794,84956.0,1711253699999
45,1711253700000,1.1793,1.1793,1.1755,1.1764,65521.0,1711253999999
46,1711254000000,1.1764,1.1764,1.1712,1.1725,164764.0,1711254299999
47,1711254300000,1.1723,1.1741,1.1701,1.1716,141633.0,1711254599999
48,1711254600000,1.1713,1.1741,1.1707,1.1735,68306.0,1711254899999
49,1711254900000,1.1735,1.1744,1.1701,1.1713,87890.0,1711255199999
50,1711255200000,1.1714,1.1768,1.1707,1.1756,76036.0,1711255499999
51,1711255500000,1.1756,1.1782,1.1724,1.1741,73930.0,1711255799999
52,1711255800000,1.1739,1.1767,1.1721,1.1749,33840.0,1711256099999
53,1711256100000,1.1748,1.1783,1.1737,1.1776,37868.0,1711256399999
54,1711256400000,1.1777,1.1803,1.1756,1.1775,56782.0,1711256699999
55,1711256700000,1.1774,1.1774,1.1733,1.1749,54377.0,1711256999999
56,1711257000000,1.1747,1.1762,1.1727,1.1756,42174.0,1711257299999
57,1711257300000,1.1753,1.1799,1.1744,1.1795,58796.0,1711257599999
58,1711257600000,1.1794,1.1826,1.1794,1.1812,47215.0,1711257899999
59,1711257900000,1.1813,1.1829,1.1795,1.1825,62334.0,1711258199999
60,1711258200000,1.1825,1.1857,1.1808,1.1856,72651.0,1711258499999
61,1711258500000,1.1855,1.1857,1.184,1.1848,35189.0,1711258799999
62,1711258800000,1.1848,1.1864,1.1832,1.1836,68433.0,1711259099999
63,1711259100000,1.1836,1.187,1.1828,1.186,67790.0,1711259399999
64,1711259400000,1.1862,1.1871,1.1855,1.1866,74540.0,1711259699999
65,1711259700000,1.1866,1.1868,1.1845,1.1847,168689.0,1711259999999
66,1711260000000,1.1847,1.1854,1.1811,1.1814,94064.0,1711260299999
67,1711260300000,1.1813,1.182,1.1784,1.1788,88686.0,1711260599999
68,1711260600000,1.1788,1.183,1.1776,1.1816,104645.0,1711260899999
69,1711260900000,1.1814,1.1839,1.1798,1.1814,53763.0,1711261199999
70,1711261200000,1.1815,1.1815,1.176,1.1767,149204.0,1711261499999
71,1711261500000,1.1765,1.1779,1.1754,1.176,58874.0,1711261799999
72,1711261800000,1.1759,1.1763,1.1668,1.1679,309651.0,1711262099999
73,1711262100000,1.1678,1.1696,1.1667,1.1675,183795.0,1711262399999
74,1711262400000,1.1675,1.1696,1.165,1.1693,179128.0,1711262699999
75,1711262700000,1.1692,1.1692,1.1648,1.1674,124072.0,1711262999999
76,1711263000000,1.1672,1.1687,1.1658,1.1667,254469.0,1711263299999
