,open_time,open,high,low,close,VOLUME,close_time
0,1711240500000,1.249,1.25,1.246,1.247,67772.6,1711240799999
1,1711240800000,1.248,1.25,1.248,1.249,17828.3,1711241099999
2,1711241100000,1.25,1.251,1.248,1.249,38047.9,1711241399999
3,1711241400000,1.249,1.253,1.249,1.253,17739.6,1711241699999
4,1711241700000,1.252,1.254,1.252,1.252,61538.9,1711241999999
5,1711242000000,1.252,1.252,1.25,1.251,27959.4,1711242299999
6,1711242300000,1.251,1.253,1.25,1.253,71982.9,1711242599999
7,1711242600000,1.254,1.258,1.253,1.256,183467.1,1711242899999
8,1711242900000,1.257,1.259,1.254,1.257,202559.2,1711243199999
9,1711243200000,1.257,1.259,1.256,1.259,130235.0,1711243499999
10,1711243500000,1.259,1.266,1.258,1.261,92331.2,1711243799999
11,1711243800000,1.262,1.264,1.26,1.263,79454.1,1711244099999
12,1711244100000,1.262,1.264,1.26,1.264,83787.8,1711244399999
13,1711244400000,1.263,1.264,1.261,1.263,52333.0,1711244699999
14,1711244700000,1.263,1.265,1.262,1.262,66053.9,1711244999999
15,1711245000000,1.262,1.265,1.261,1.264,61494.4,1711245299999
16,1711245300000,1.264,1.27,1.263,1.268,78645.4,1711245599999
17,1711245600000,1.268,1.272,1.264,1.266,269589.0,1711245899999
18,1711245900000,1.266,1.269,1.266,1.269,108648.7,1711246199999
19,1711246200000,1.268,1.27,1.265,1.266,85908.3,1711246499999
20,1711246500000,1.266,1.266,1.262,1.265,113302.0,1711246799999
21,1711246800000,1.265,1.266,1.262,1.263,82464.1,1711247099999
22,1711247100000,1.264,1.265,1.26,1.262,65033.4,1711247399999
23,1711247400000,1.261,1.262,1.259,1.259,38813.0,1711247699999
24,1711247700000,1.26,1.262,1.26,1.261,36766.7,1711247999999
25,1711248000000,1.261,1.264,1.26,1.264,58105.8,1711248299999
26,1711248300000,1.264,1.264,1.26,1.263,57925.3,1711248599999
27,1711248600000,1.264,1.264,1.258,1.262,71245.7,1711248899999
28,1711248900000,1.261,1.264,1.26,1.262,43507.6,1711249199999
29,1711249200000,1.262,1.264,1.261,1.261,37513.5,1711249499999
30,1711249500000,1.261,1.261,1.253,1.254,125715.7,1711249799999
31,1711249800000,1.253,1.254,1.249,1.252,88162.0,1711250099999
32,1711250100000,1.252,1.257,1.252,1.256,115761.3,1711250399999
33,1711250400000,1.257,1.259,1.254,1.256,83513.1,1711250699999
34,1711250700000,1.256,1.257,1.253,1.255,77582.2,1711250999999
35,1711251000000,1.254,1.255,1.248,1.249,95477.7,1711251299999
36,1711251300000,1.248,1.253,1.248,1.25,92880.4,1711251599999
37,1711251600000,1.25,1.252,1.249,1.251,53894.6,1711251899999
38,1711251900000,1.251,1.257,1.25,1.252,135882.3,1711252199999
39,1711252200000,1.252,1.254,1.251,1.253,67845.3,1711252499999
40,1711252500000,1.252,1.254,1.251,1.251,71685.9,1711252799999
41,1711252800000,1.251,1.254,1.248,1.253,84521.2,1711253099999
42,1711253100000,1.254,1.259,1.254,1.259,40359.7,1711253399999
43,1711253400000,1.258,1.258,1.254,1.257,50199.2,1711253699999
44,1711253700000,1.256,1.257,1.254,1.254,52430.4,1711253999999
45,1711254000000,1.254,1.254,1.247,1.247,158955.0,1711254299999
46,1711254300000,1.248,1.251,1.246,1.251,82128.0,1711254599999
47,1711254600000,1.25,1.254,1.249,1.251,90860.0,1711254899999
48,1711254900000,1.252,1.253,1.247,1.249,57293.6,1711255199999
49,1711255200000,1.248,1.254,1.248,1.253,74544.9,1711255499999
50,1711255500000,1.253,1.256,1.25,1.252,42203.9,1711255799999
51,1711255800000,1.252,1.254,1.251,1.253,34935.4,1711256099999
52,1711256100000,1.253,1.258,1.252,1.258,70144.2,1711256399999
53,1711256400000,1.257,1.26,1.255,1.258,69168.8,1711256699999
54,1711256700000,1.258,1.258,1.256,1.258,46267.6,1711256999999
55,1711257000000,1.258,1.259,1.257,1.257,48232.2,1711257299999
56,1711257300000,1.257,1.261,1.256,1.26,30750.5,1711257599999
57,1711257600000,1.261,1.263,1.261,1.263,7618.8,1711257899999
58,1711257900000,1.263,1.265,1.261,1.264,54126.7,1711258199999
59,1711258200000,1.264,1.27,1.262,1.269,86201.4,1711258499999
60,1711258500000,1.269,1.27,1.268,1.27,39563.6,1711258799999
61,1711258800000,1.269,1.269,1.266,1.266,33878.8,1711259099999
62,1711259100000,1.266,1.268,1.266,1.268,35107.8,1711259399999
63,1711259400000,1.268,1.269,1.266,1.267,38466.8,1711259699999
64,1711259700000,1.266,1.267,1.263,1.265,38971.5,1711259999999
65,1711260000000,1.265,1.265,1.261,1.262,50729.2,1711260299999
66,1711260300000,1.263,1.263,1.26,1.261,55283.7,1711260599999
67,1711260600000,1.261,1.267,1.261,1.265,72120.9,1711260899999
68,1711260900000,1.264,1.267,1.263,1.265,47808.9,1711261199999
69,1711261200000,1.265,1.265,1.261,1.261,66940.2,1711261499999
70,1711261500000,1.261,1.262,1.259,1.261,69915.4,1711261799999
71,1711261800000,1.26,1.261,1.255,1.255,62058.5,1711262099999
72,1711262100000,1.255,1.256,1.251,1.251,59180.6,1711262399999
73,1711262400000,1.251,1.254,1.25,1.254,55239.2,1711262699999
74,1711262700000,1.254,1.254,1.25,1.252,83839.4,1711262999999
75,1711263000000,1.251,1.255,1.25,1.254,94593.0,1711263299999
76,1711263300000,1.254,1.256,1.253,1.254,30066.5,1711263599999
77,1711263600000,1.255,1.257,1.254,1.257,48278.0,1711263899999
78,1711263900000,1.257,1.258,1.254,1.257,40797.3,1711264199999
79,1711264200000,1.257,1.26,1.256,1.259,37923.7,1711264499999
80,1711264500000,1.26,1.261,1.257,1.257,68196.8,1711264799999
81,1711264800000,1.258,1.262,1.257,1.262,43824.6,1711265099999
82,1711265100000,1.263,1.265,1.261,1.263,46610.8,1711265399999
83,1711265400000,1.262,1.264,1.259,1.261,55093.5,1711265699999
84,1711265700000,1.261,1.263,1.261,1.261,40248.2,1711265999999
85,1711266000000,1.262,1.271,1.261,1.271,96383.3,1711266299999
86,1711266300000,1.271,1.271,1.266,1.268,48666.0,1711266599999
87,1711266600000,1.267,1.269,1.265,1.265,54331.0,1711266899999
88,1711266900000,1.266,1.273,1.265,1.272,134511.6,1711267199999
89,1711267200000,1.272,1.275,1.268,1.274,131776.2,1711267499999
90,1711267500000,1.274,1.276,1.273,1.275,74264.2,1711267799999
91,1711267800000,1.275,1.278,1.274,1.276,133432.5,1711268099999
92,1711268100000,1.275,1.277,1.272,1.273,91674.6,1711268399999
93,1711268400000,1.273,1.275,1.27,1.271,52371.0,1711268699999
94,1711268700000,1.271,1.272,1.268,1.27,27182.7,1711268999999
95,1711269000000,1.27,1.271,1.267,1.269,50640.8,1711269299999
96,1711269300000,1.269,1.271,1.268,1.268,44127.7,1711269599999
97,1711269600000,1.268,1.273,1.268,1.273,36864.0,1711269899999
98,1711269900000,1.273,1.274,1.27,1.274,60683.4,1711270199999
99,1711270200000,1.275,1.276,1.272,1.275,99419.6,1711270499999
100,1711270500000,1.274,1.276,1.272,1.274,95283.6,1711270799999
101,1711270800000,1.274,1.275,1.272,1.273,108395.4,1711271099999
102,1711271100000,1.273,1.275,1.271,1.275,97241.0,1711271399999
103,1711271400000,1.274,1.274,1.272,1.273,36529.5,1711271699999
104,1711271700000,1.272,1.274,1.27,1.27,46155.8,1711271999999
105,1711272000000,1.269,1.27,1.268,1.269,56283.4,1711272299999
106,1711272300000,1.269,1.272,1.268,1.27,73481.3,1711272599999
107,1711272600000,1.27,1.272,1.269,1.271,32374.3,1711272899999
108,1711272900000,1.271,1.272,1.269,1.269,50801.8,1711273199999
